,Return,Volatility,AAPL,AMZN,GOOGL
429,0.1882055287089457,0.30823554701576766,0.16783863317743433,0.2978832808668328,0.5342780859557328
1917,0.1884513327793799,0.30823906831971876,0.1794169653093541,0.30177859464140055,0.5188044400492453
1423,0.18651531691070872,0.3082433334928105,0.15999204700271497,0.3055445346016242,0.5344634183956608
841,0.18807222796016507,0.3082448937649122,0.18024736082595758,0.3047402360746738,0.5150124030993687
2003,0.18984971109292387,0.30824653447542844,0.17473759023654545,0.290078400042498,0.5351840097209566
2056,0.1901688100244298,0.3082469680014668,0.18063641419938253,0.2907522246906289,0.5286113611099885
803,0.18616986418418502,0.308247158165585,0.15838854811051084,0.3071104800436231,0.5345009718458661
1228,0.1858842476020208,0.30824849001518634,0.1677680963364717,0.3135433318125648,0.5186885718509636
945,0.18519544961452622,0.30825512456679716,0.1623346008589965,0.3155923388428057,0.5220730602981979
1115,0.18932578358050037,0.30825793520373995,0.18725337380473686,0.2996277192584017,0.5131189069368615
1125,0.18830886090788554,0.308258916267103,0.1610258077760018,0.2939147630265374,0.5450594291974608
211,0.18840708705071096,0.30826122272864476,0.18550221318585708,0.30499842590036247,0.5094993609137806
436,0.18596273768020677,0.30826339790915014,0.15309958752335112,0.30597233469215707,0.5409280777844917
1947,0.19118292559231623,0.3082644731771893,0.18379589184107822,0.2854123407014617,0.5307917674574602
1968,0.189081937296622,0.30826715939832516,0.16323016606303048,0.2897460947829787,0.5470237391539908
617,0.1843809193820703,0.30827078215565706,0.15499124636980005,0.3175747458369607,0.5274340077932393
51,0.19195159781039497,0.3082818267032018,0.18765242037685018,0.28206642839259854,0.5302811512305513
495,0.18600714956133804,0.3082921780319158,0.17944545067044013,0.3183170991192714,0.5022374502102884
1554,0.19174279636262423,0.3082942804658374,0.17731815710316237,0.2785180507512395,0.5441637921455983
711,0.19091972537164437,0.30830199363806715,0.1982684866449809,0.2941381097778643,0.5075934035771549
2420,0.19179929342492535,0.3083070717477138,0.1992307018399079,0.28865328185613387,0.5121160163039582
1686,0.18345143012858475,0.308315817817543,0.16386434123508195,0.32811766564730205,0.508017993117616
427,0.19320329755909343,0.30832085816797133,0.19649074914725065,0.2778459018795378,0.5256633489732117
109,0.1933740565455845,0.3083256772353364,0.19035929009842958,0.273748549871216,0.5358921600303543
1519,0.18273858766112835,0.3083317190950137,0.15956938779599972,0.3308756921018275,0.5095549201021727
2548,0.19355410467161305,0.3083394806677555,0.20112825183651983,0.27769996429453414,0.5211717838689461
2468,0.18291096279732974,0.3083432024481538,0.16411845824833995,0.331893667763109,0.503987873988551
2362,0.18197105248201648,0.3083438670453139,0.14336522710892718,0.32828751590598404,0.5283472569850889
73,0.19336867067304503,0.3083453546890209,0.20396842352064287,0.2803168376128862,0.5157147388664708
1225,0.18237389227440848,0.3083645828168649,0.13479551914961269,0.32145082493546706,0.5437536559149202
600,0.19087342403592275,0.30836712283809947,0.20688814166591424,0.2985882592894939,0.49452359904459187
1766,0.1918119280489574,0.30836898242926697,0.20864369164384558,0.2930857433327986,0.4982705650233559
905,0.18632976902150442,0.3083698019871266,0.13890500709988532,0.29667801222906787,0.5644169806710468
1504,0.1939994409977509,0.3083887021705441,0.21073257265098755,0.27929881265365036,0.509968614695362
1384,0.1952228373129096,0.3083976029991612,0.19954955629457546,0.26566014626219453,0.5347902974432301
1150,0.180676769483195,0.3084030582896853,0.14854140988597841,0.33952238353676106,0.5119362065772605
1746,0.18998557726721144,0.3084056526789186,0.15091514910797552,0.2777259451730489,0.5713589057189756
930,0.19166803544861077,0.308418979213328,0.21368137843776266,0.296476485163971,0.48984213639826624
168,0.18591058435992583,0.30842428123564103,0.13266638014117182,0.29651776260478013,0.570815857254048
1926,0.18000478341300505,0.3084260067524149,0.13842009370774222,0.33920774877245613,0.5223721575198017
815,0.1907517091963759,0.30842863960829275,0.21251833940780954,0.3021134429833308,0.48536821760885956
2700,0.180895485244215,0.30843436776105515,0.12672477395855855,0.32757250384334335,0.5457027221980981
961,0.18266154989587816,0.30843757880316014,0.17474742162711968,0.33868142323816924,0.48657115513471105
1959,0.18197730022231814,0.30843816257372814,0.1694395878002583,0.34075999254519945,0.4898004196545422
2024,0.17994227438662855,0.3084502429759898,0.1283976925104453,0.3348199875575438,0.536782319932011
2666,0.1963097222852832,0.30845313004554237,0.20154700615444252,0.2592705471409942,0.5391824467045633
1235,0.1811396095049066,0.3084560693014125,0.12319385708172789,0.32422730080031464,0.5525788421179574
504,0.19178339595672675,0.30846379663101947,0.217868179772005,0.29770605434433034,0.4844257658836647
256,0.18249806685241407,0.3084649935989333,0.1762569155029159,0.3405112132295397,0.4832318712675444
791,0.1907266278487728,0.3084687730552839,0.21573129484334314,0.30382511330820383,0.48044359184845303
1911,0.1791513758126069,0.30847079250922343,0.1338420577741695,0.3427802504049969,0.5233776918208336
