,assets,money invested,weights,return,pf_return,Pf_volatilities
APD,APD,3852,0.0375617985197609,0.1596618554194948,0.14121928104725714,0.2355076788592841
BTI,BTI,884,0.00862010121793059,0.16829319362272638,0.14121928104725714,0.2355076788592841
COST,COST,1421,0.013856520170451775,0.258707453464548,0.14121928104725714,0.2355076788592841
CWEN-A,CWEN-A,8569,0.08355842458874121,0.24169009104635036,0.14121928104725714,0.2355076788592841
DVN,DVN,6005,0.05855623055845384,0.39244785128977155,0.14121928104725714,0.2355076788592841
MFA,MFA,3507,0.03419761874579477,-0.0792103357901728,0.14121928104725714,0.2355076788592841
MPW,MPW,3411,0.033261499156517244,0.07745507632118581,0.14121928104725714,0.2355076788592841
NLY,NLY,5958,0.058097922009536715,-0.005956562570845185,0.14121928104725714,0.2355076788592841
NYMT,NYMT,3120,0.03042388665151973,-0.09528485017696353,0.14121928104725714,0.2355076788592841
PAA,PAA,3547,0.03458766857466041,-0.08265443427826327,0.14121928104725714,0.2355076788592841
PFFV,PFFV,5809,0.056644986397012216,0.04891012010730766,0.14121928104725714,0.2355076788592841
VGT,VGT,7945,0.07747364725843726,0.23351976272969258,0.14121928104725714,0.2355076788592841
VOO,VOO,15912,0.15516182192275063,0.1614770404464256,0.14121928104725714,0.2355076788592841
VUG,VUG,14171,0.13818490312137374,0.18164580782310988,0.14121928104725714,0.2355076788592841
GOOGL,GOOGL,7627,0.07437275111895544,0.2324654320590689,0.14121928104725714,0.2355076788592841
VZ,VZ,5362,0.05228617955943872,0.01796555073493198,0.14121928104725714,0.2355076788592841
PYPL,PYPL,2492,0.02430010433832922,0.0065468776011360415,0.14121928104725714,0.2355076788592841
VIG,VIG,1638,0.015972540492047858,0.14924220855000409,0.14121928104725714,0.2355076788592841
HDV,HDV,1066,0.010394827939269241,0.1084839789199546,0.14121928104725714,0.2355076788592841
VHT,VHT,255,0.0024865676590184395,0.13293325728194325,0.14121928104725714,0.2355076788592841
