,assets,money invested,weights,return,pf_return,Pf_volatilities
APD,APD,3852,0.03989807967186626,0.1626117892304093,0.1279550278351999,0.22617971023270378
BTI,BTI,884,0.009156257120957885,0.17437415143611695,0.1279550278351999,0.22617971023270378
COST,COST,1421,0.014718372589232077,0.2573794815655326,0.1279550278351999,0.22617971023270378
CWEN-A,CWEN-A,8569,0.08875561908313136,0.24916137351320558,0.1279550278351999,0.22617971023270378
MFA,MFA,3507,0.03632465353303089,-0.07942714707797735,0.1279550278351999,0.22617971023270378
MPW,MPW,3411,0.035330308868311476,0.08213573935543754,0.1279550278351999,0.22617971023270378
NLY,NLY,5958,0.06171151575414828,-0.004431922704715181,0.1279550278351999,0.22617971023270378
NYMT,NYMT,3120,0.03231620160338077,-0.09103764000572642,0.1279550278351999,0.22617971023270378
PAA,PAA,3547,0.036738963809997305,-0.07842333225462747,0.1279550278351999,0.22617971023270378
PFFV,PFFV,5809,0.060168209972448365,0.0521033738366321,0.1279550278351999,0.22617971023270378
VGT,VGT,7945,0.08229237876245521,0.23585190242196102,0.1279550278351999,0.22617971023270378
VOO,VOO,15912,0.16481262817724193,0.16308252120821215,0.1279550278351999,0.22617971023270378
VUG,VUG,14171,0.1467797733722785,0.1828885134332216,0.1279550278351999,0.22617971023270378
GOOGL,GOOGL,7627,0.07899861206057217,0.23095787992112024,0.1279550278351999,0.22617971023270378
VZ,VZ,5362,0.05553829262734862,0.020674625140628154,0.1279550278351999,0.22617971023270378
PYPL,PYPL,2492,0.025811530255007976,0.009427910023195074,0.1279550278351999,0.22617971023270378
VIG,VIG,1638,0.016966005841774906,0.1505070270085712,0.1279550278351999,0.22617971023270378
HDV,HDV,1066,0.011041368881155098,0.11156951913373002,0.1279550278351999,0.22617971023270378
VHT,VHT,255,0.0026412280156609285,0.13603908960822256,0.1279550278351999,0.22617971023270378
