,Return,Volatility,VYM,VTI,VOO
1874,0.09999939168508841,0.20302937108198005,0.8297108416369189,0.16834764933979504,0.0019415090232860657
697,0.10053513998126092,0.2030345755634238,0.8197781379992675,0.1543122431702173,0.025909618830515166
350,0.10132320626975809,0.20303810578696127,0.8003219617232757,0.16916011766646144,0.030517920610262924
1856,0.0994275486218476,0.20304985048765095,0.847863124016004,0.12802216932226806,0.024114706661727933
1444,0.10020844593405963,0.20305167149964046,0.8329662432867698,0.110634648887902,0.05639910782532815
1603,0.10147401479931227,0.20305211219433505,0.8030220140413857,0.12495097198720158,0.07202701397141266
393,0.09935120139481574,0.20305231818289307,0.849962752446844,0.12501082641519456,0.025026421137961396
247,0.1021733047396386,0.20305662501140131,0.7823737684691519,0.1629126925687422,0.054713538962106005
1033,0.1023287803448011,0.203057388453967,0.7748352795264607,0.19294466018829295,0.03222006028524642
715,0.10238174634307504,0.2030580292542081,0.7696083685137345,0.22265111738390334,0.007740514102362182
754,0.09930333228029128,0.20306187863909608,0.8533476519721308,0.10797137501901692,0.03868097300885224
287,0.10213144160369658,0.20306783926636243,0.7905115673520116,0.11008533060187017,0.09940310204611826
1174,0.10251017205649436,0.20306979148221074,0.7781323904615237,0.1394075283233439,0.08246008121513243
577,0.10074597172494161,0.20307139718858258,0.8269121732275913,0.06790034144961286,0.10518748532279591
1468,0.09973123322521363,0.2030755493501025,0.8486472550176662,0.07308088179468421,0.07827186318764952
410,0.10297354501925789,0.20308180229594067,0.7534420264036908,0.24519675845581235,0.001361215140496763
1913,0.10133899619505907,0.20308598868629438,0.817262144749427,0.04251548386098623,0.14022237138958663
268,0.0981726701845218,0.20308717281806415,0.8782313509719369,0.10886819662429181,0.012900452403771212
37,0.10316353802506761,0.20308723008306417,0.7539949047392156,0.2103676692090222,0.03563742605176229
780,0.10267708493735561,0.2030879769048334,0.7818385817432044,0.08521948865037846,0.13294192960641718
913,0.1027457828527663,0.20308913886041927,0.7800469704050261,0.08721381452536046,0.1327392150696135
306,0.10132253297102535,0.20309190106294644,0.8191135440440717,0.03162108326213621,0.14926537269379211
1100,0.1005829472666325,0.20309393687940142,0.8357302255058232,0.029718517993771773,0.13455125650040503
1000,0.10330260775473928,0.20309473791126925,0.7592812361576878,0.14911577081884553,0.0916029930234665
213,0.10335430712835288,0.2030975592094215,0.7465156752342468,0.23424794205075203,0.019236382715001183
1364,0.10340033047178945,0.20309859059382687,0.757129074015931,0.1490490486606507,0.09382187732341837
288,0.09798507564134963,0.20310479937778456,0.8847638377966783,0.09140851696955297,0.02382764523376861
905,0.09913604811442378,0.20310592403606148,0.8658695454952504,0.04334904132339067,0.09078141318135892
1003,0.101115239058203,0.20310683103555768,0.8271311673302131,0.006474136095880625,0.1663946965739063
139,0.10362079276314295,0.20310707242938647,0.7508358159992992,0.1594317366422939,0.08973244735840694
869,0.10356165621047211,0.2031078964933516,0.75689277128281,0.12464485798569853,0.11846237073149155
412,0.10281353886489193,0.20310947031751436,0.785532680372357,0.03605444131638784,0.1784128783112551
1798,0.10005983115812103,0.20311084721747508,0.8496566495063586,0.01245353076831559,0.13788981972532582
1489,0.10382623845053865,0.20311888823776442,0.7381558685826871,0.219029567289473,0.042814564127839884
330,0.10378826186465795,0.2031190962614391,0.7536777668751854,0.11148413844698693,0.1348380946778277
67,0.10307443248046196,0.20312023807384544,0.7811877290914664,0.025615847697173684,0.1931964232113599
1108,0.10398106638813111,0.20312397934695153,0.7393808661498148,0.18497402711920047,0.07564510673098462
54,0.10387063292932018,0.20312678066639017,0.7550939046986379,0.08776666240030358,0.1571394329010586
534,0.10406863103434438,0.20314097027955735,0.7543061540871789,0.06146082103302619,0.18423302487979484
1966,0.10400465216540833,0.2031469753926319,0.7596695155756071,0.032538973734313276,0.20779151069007964
468,0.09814715242465501,0.20314739877135984,0.8897735695358827,0.02845551728613535,0.0817709131779819
1923,0.10445356814589979,0.20314781070397142,0.7345584876266344,0.1437516229192532,0.12168988945411234
477,0.09806075517777588,0.20314898818362778,0.8914152041154427,0.030427097850707057,0.07815769803385006
792,0.10468734420905627,0.20316148552665028,0.7332878945360338,0.1151864931420274,0.1515256123219388
1120,0.10467906270323922,0.20316506795261494,0.7382909396087088,0.07988087047118371,0.18182818992010746
