,Return,Volatility,VYM,VTI,VUG,VGIT,FB,AAPL,MSFT,GOOGL
2164,0.14681520256622557,0.1429799550105897,0.2726929916550231,0.14119579143846533,0.013397814491419158,0.34806706759317524,0.06116519692362265,0.02492752107148922,0.011913441966956904,0.12664017485984833
73,0.12654465281813257,0.14647255803554862,0.060357443488656175,0.3283183587416849,0.010862422701392581,0.3916761157793336,0.18035098591842877,0.0017511100550156014,0.010689177939277948,0.01599438537621044
2240,0.15890069947193963,0.15009615785564495,0.13356887641950996,0.20818336113604127,0.108256384905862,0.3362676646664341,0.05142446176392724,0.008613112478838739,0.02385005657940913,0.12983608204997765
663,0.1739539032231236,0.15366853158092805,0.2100375974179291,0.030256954833236076,0.2570698584798409,0.3246319102593154,0.01074957584687463,0.016529427691499596,0.14728890760968685,0.0034357678616175735
1086,0.17110241221551895,0.15555455090025871,0.2571617648493072,0.1857752492657125,0.09602933595870197,0.3005773295455158,0.030116847768035672,0.10376019562194305,0.02479691116405536,0.001782365826728504
991,0.15504179567643087,0.1565807381275439,0.2010332336650557,0.09417932628308998,0.005102840981402237,0.35851312315261413,0.18441553751902431,0.09264551129234642,0.01828024357030703,0.0458301835361602
2444,0.16749321141661794,0.1588899963696102,0.06962891334490369,0.15231230119200106,0.008013226440070432,0.37177403962711575,0.1601160187454402,0.07322664164140547,0.0370499344235864,0.12787892458547706
98,0.16108894370711005,0.15998714133911393,0.18453611056592795,0.1974806437694268,0.26520997409498215,0.2786290414181248,0.040218347112788794,0.01939437155653782,0.011507090719496108,0.0030244207627156934
322,0.18079676590262042,0.16057956605974932,0.2071468367019117,0.1700301273257372,0.0030002890144994305,0.30045456543696775,0.046890580079124236,0.04290095184715315,0.1549517332104568,0.07462491638414982
2340,0.1599589811112675,0.16129427968356555,0.264527404066626,0.10101116101136434,0.025384714089546345,0.2930998646110993,0.09302312781686121,0.008456922444569416,0.004531205044047353,0.20996560091588598
257,0.19925996997859594,0.1622121842459056,0.19088390208621017,0.012794160445509798,0.15938056198365627,0.32726158165997177,0.058292346067687004,0.1658094423409815,0.07861421561229773,0.006963789803685888
2473,0.18476312041065354,0.16232865388070292,0.0694784979998873,0.03889457958403152,0.1526990306435152,0.35988255986215967,0.11168652750586322,0.05429802948224913,0.15881403863970625,0.0542467362825877
2228,0.19596711010252094,0.16358861718690867,0.10007487272126521,0.019418182712271657,0.14197593189211705,0.35834185883442177,0.11393661699211535,0.16690668181480486,0.04259102904765168,0.056754825985352295
1590,0.1883449369812669,0.16360515547407684,0.1956642977590436,0.06874107773365092,0.10102323953622773,0.29840483379384536,0.046427834810304276,0.08374239353834464,0.0035452803886586335,0.20245104243992484
274,0.1649745389257213,0.1642705816720551,0.2932720570110287,0.09884564750296279,0.10316940589011578,0.2679670711275436,0.09270339489953948,0.042137948040008893,0.03723171740841455,0.06467275812038623
2409,0.18870943905282025,0.16552560332166105,0.07027905540558448,0.19043548798274812,0.10732590248274715,0.30494364981777333,0.04646344179037758,0.03421352361359273,0.08861630440650348,0.1577226345006731
213,0.19836848081072792,0.16627032054658272,0.1557241336255061,0.09636998029624352,0.1881796489453604,0.2976787306945162,0.041196624325880234,0.12904867939007875,0.07592688280946594,0.015875319912948802
2703,0.14666240545006576,0.1664291103048102,0.35347889894951573,0.07683984808995815,0.0077064333432254745,0.2761453519805012,0.1744472802527782,0.01015789385451024,0.09880606381713984,0.002418229712371152
2024,0.21216615798571625,0.16662764372210082,0.0925595650470108,0.0050076176469543345,0.2792523608351785,0.32298655336315213,0.014707691498277919,0.13490428233255766,0.0935200343591002,0.05706189491776841
2021,0.20246434111426861,0.1666334411543289,0.1659514578761149,0.07647608022890087,0.1124413013469375,0.29212751250401303,0.003952342008228906,0.08711190170249992,0.04692304671657357,0.21501635761673135
2355,0.19578085208522525,0.16678654628109602,0.19112931484100007,0.09422396490430386,0.03043131452737615,0.29068075082364275,0.02130421188924117,0.06538480435455472,0.05024602754712261,0.25659961111275864
2927,0.1968015365988741,0.16721382971151066,0.13180943557114283,0.24064566435952175,0.0027224635524046516,0.2870215835520287,0.04147479709607768,0.0960430804100628,0.11400416744612839,0.08627880801263316
1780,0.19600687416989945,0.1676684992979723,0.014149004315100782,0.22939876887209362,0.1273646032194411,0.30381116775171313,0.019201689353743324,0.03601369916186015,0.06875534250510758,0.20130572482094036
434,0.2005721721938265,0.16790497259298057,0.199728237671593,0.02453097071105512,0.12284668828185387,0.2863321627615384,0.018397671411934075,0.08293130896620039,0.03838233145097749,0.22685062874484774
2027,0.16741448017122865,0.16806056066289332,0.29190398163318115,0.02558670576774573,0.025990776895007194,0.2919409057675682,0.16652568951070995,0.06630895011479067,0.09203028293778405,0.03971270737321296
1691,0.17728449502023497,0.16827423257671617,0.20432254194780367,0.24277665498827422,0.08208959145207953,0.25606872959976523,0.030278030304890874,0.0035049520870404885,0.17241965347516552,0.008539846144980379
219,0.2206342268151914,0.16842263144175043,0.06719254580332236,0.012668925705118336,0.15141227734036647,0.3368730750633758,0.020572832921494512,0.13219635228778298,0.1412965339038067,0.13778745697473282
2188,0.18339670071852554,0.1685314447222535,0.21319692326006986,0.03618100231981474,0.08455412305328246,0.300923080193407,0.1342151436481119,0.12560121568949306,0.002031382860278215,0.10329712897554279
1135,0.21933271794910475,0.16875292181945684,0.018529427489475853,0.08701305968243495,0.21211260560730527,0.3320070107574705,0.014529423489503859,0.14835060554289217,0.10060002210927171,0.08685784532164556
730,0.20756441176174778,0.17004711386201046,0.12945535463805294,0.12372657806612442,0.08110325149755784,0.3011615364756995,0.061992935874064396,0.15318689658961598,0.10106740248510154,0.04830604437378338
75,0.2109069390642882,0.17030063889347302,0.01270095649950066,0.26664070157855346,0.08721961443182553,0.30100289017780285,0.023173696464561258,0.12586381215918943,0.09175417153830634,0.09164415715026054
2561,0.21355819824885558,0.1706017521998131,0.15872845773413077,0.03556549833206929,0.10028701539135702,0.3087099219187625,0.011440262096796593,0.07640177124502116,0.29577159500464567,0.013095478277217033
653,0.20842819057046671,0.17070533979543612,0.10769434051861503,0.20093233713484407,0.04692510960935128,0.29549180661459173,0.05073629307887704,0.15087701708327608,0.12308261968875836,0.02426047627168631
2280,0.2251520348057331,0.17125809749535909,0.2507664671363623,0.028179975422790087,0.05528294803133315,0.2991661565315699,0.01662557301793139,0.2794883218844169,0.03099187187465773,0.03949868610093866
884,0.20362733506200917,0.17165898429695334,0.2572134377940491,0.009511141048500302,0.07716075569955855,0.2717629217334745,0.002109373320862539,0.02489824779862122,0.267921976418782,0.08942214618615181
1071,0.19867083239108815,0.17232235225687173,0.14595500815050547,0.18727101107026578,0.09616246758705192,0.2665663763283448,0.017911722444193177,0.035909614804411516,0.21130679497932484,0.038917004635902454
398,0.20699576873575926,0.17243084565910483,0.08217717263639625,0.2562926182795643,0.08331817985592498,0.29374630531681767,0.0634527329964876,0.20952025733375845,0.01110563763758183,0.00038709594346891417
1124,0.1782687017735232,0.17256448474165312,0.32946721044129423,0.010060962761515227,0.05816800623376215,0.2532577279671926,0.12431337536663177,0.08499846943375408,0.027011787672438642,0.11272246012341137
2393,0.17539229205841939,0.1726476615303504,0.2242153948560761,0.2578923823728461,0.028396018530681875,0.23743527958574384,0.08658586464640486,0.058782486336529924,0.03857145321639742,0.06812112045531978
1197,0.18970501316258787,0.17271794665529785,0.21719467192743455,0.11793692267412717,0.021172659367624448,0.2685434940215315,0.10659080269555767,0.11498277286410709,0.01787962614619112,0.13569905030342652
2203,0.18286877139186497,0.17287556620007485,0.23138603810435557,0.0038552712445332144,0.09229514771380046,0.27581775333301534,0.11934245964086884,0.05339004258847227,0.042552540827738565,0.1813607465472158
2154,0.17362591797312402,0.1732918025239826,0.23376261112420418,0.1737509993145393,0.22624151767929293,0.22189095315458693,0.050911526255057786,0.02587557300478563,0.006290188685921895,0.061276630781611344
1311,0.201457190059668,0.1733283065614812,0.07927463130128105,0.216002467328989,0.1548734783313364,0.27314116459816945,0.006874249706951967,0.02734952164947258,0.21973144145344728,0.02275304563035221
2193,0.1802668841279536,0.173334937282434,0.270094693730425,0.22135047593134935,0.000831854615112436,0.22736606341076243,0.060425920338610516,0.05464982044166048,0.04802404771965557,0.11725712381242419
1964,0.17252651966887042,0.1733597657834659,0.004773725950586375,0.10427543805697842,0.06166875228883887,0.37475544800156685,0.2305745597134899,0.07788444593381608,0.09176848221663057,0.05429914783809297
2822,0.19755166075076006,0.1734678918636937,0.1968650386274236,0.12582943910097483,0.10283580772780772,0.24881389606129561,0.014613122698714965,0.06089678470677669,0.023888066768396637,0.22625784430861
967,0.18182973264722907,0.1736489940648618,0.20613157312610889,0.19797339953096732,0.13169034877213184,0.23693319358514542,0.06241110246645149,0.039886665770265846,0.09015987658596528,0.03481384016296382
1065,0.2007091798227743,0.17370419926982822,0.041125524411529925,0.24056728697317878,0.2242517532979168,0.2694532961680958,0.0013451532667088043,0.03125690987745432,0.17034821034462652,0.021651865660488996
2721,0.21633739640546584,0.17412517655449652,0.037045058588529,0.1129759095893111,0.19351379964701693,0.3081897392354721,0.04861747365225279,0.14195670210414046,0.12569424584690833,0.03200707133636934
242,0.21719511789865453,0.17420388157843253,0.031024241839137157,0.10505117404094944,0.05263004627773364,0.33454869674165794,0.0950840949675225,0.16142244334043324,0.1504054312101407,0.06983387158242547
1518,0.2010613141493145,0.17431817465933466,0.01800223892148402,0.21124910373841663,0.21839624309557384,0.2784134113780644,0.033454967820239066,0.042742167508249634,0.13250053830958855,0.06524132922838378
2708,0.19378724488466875,0.17497566149709656,0.12827038321829898,0.1323411361609402,0.03572468913334584,0.29722923627947395,0.144371635691915,0.12553464348225046,0.09914194192482749,0.037386334108948004
1335,0.19460262321618632,0.17517295187606027,0.17155983392194973,0.13254021827979587,0.15099863152769283,0.25463390143859255,0.07172590232311918,0.07757116854121579,0.10723424789170148,0.03373609607593259
170,0.18744985550894516,0.17553490009598394,0.2948589531841966,0.16249362871075052,0.09187168481883841,0.21716231575910216,0.04331613790033302,0.07789453620892678,0.06706443823551728,0.04533830518233533
211,0.18515172623812162,0.17586231803684071,0.22009962902982386,0.17134720972404213,0.03458296757216133,0.23805326776945,0.07095484348522565,0.008474334224416395,0.15758428106341507,0.09890346713146549
571,0.19074316871640276,0.1759495007102638,0.23944477308098971,0.1755372176375069,0.05298796955111436,0.24056187370279153,0.08744422065740184,0.11154924919993485,0.08213358957254752,0.01034110659771332
2510,0.2009896248667224,0.17613015168100324,0.13522296914198714,0.014423538978794096,0.18749024211889337,0.2761458321976745,0.06301379269816453,0.028858031721828045,0.14987781314049084,0.1449677800021675
2652,0.2013745722193338,0.17613509272302072,0.17230359489920652,0.21510624940944684,0.029756047613957923,0.2414911990697751,0.029650442288387795,0.061988434297907125,0.13422847777591115,0.11547555464540768
1330,0.1857814053382985,0.1761968503416864,0.11768406669827308,0.22534995124462887,0.10460874391581373,0.24607207978397042,0.06825174907341505,0.019154762887357842,0.041290527170518246,0.17758811922602277
74,0.18644718124597534,0.17630599240106892,0.24904511902094711,0.08498375229646964,0.0164698325292963,0.2490479462361229,0.1032050819779017,0.030029132827724115,0.1437780010899729,0.12344113402156523
1946,0.1555374226555559,0.17656513605491383,0.10028127840678645,0.08041201272803516,0.06529822501755135,0.3429288794022132,0.26772071030767014,0.05482322986349287,0.022873555411212797,0.06566210886303817
2232,0.21812155393571098,0.1767047690414401,0.00968868452757266,0.21811053508182843,0.24333495935600222,0.28698871656935687,0.025814116155109628,0.19121094458470095,0.01823199002272472,0.006620053702704618
246,0.2168087319880269,0.1770412003848935,0.05092534696305827,0.24938257615185477,0.16444052729314174,0.2610620362368018,0.004493520922378629,0.1436416136344444,0.04969705924905636,0.076357319549264
1492,0.17960016362003373,0.17711035386986027,0.23441152694969475,0.04925297401467264,0.2117023529480313,0.23497468008416975,0.10521850819111621,0.03900760953566645,0.014872468701901297,0.11055987957474754
1870,0.19631629500859082,0.1771132112386976,0.058057572933468554,0.20299419376215416,0.10302098239304208,0.28394819167312113,0.12066847415981788,0.11078990508517492,0.06624491772085517,0.05427576227236615
281,0.20083366953563236,0.17712121511900655,0.23506707670757948,0.17229328731500562,0.10106431535520581,0.23127328445607115,0.047404301091890824,0.15153999422878836,0.014232572558006017,0.04712516828745266
719,0.17616003223394555,0.17724552902241314,0.08106639988180486,0.11885902399960664,0.17133060635780614,0.28716279876438283,0.1617753580251563,0.03302747122749284,0.03305741611606601,0.11372092562768432
1627,0.18406217559219876,0.17725736161690933,0.2013787438897709,0.0599137114587778,0.18160524066844927,0.24730032545945704,0.09558378776330172,0.0013946690034708554,0.15293502222698135,0.059888499529791084
1703,0.1693802846654864,0.17731306719125067,0.020726867157290642,0.24665500228391868,0.21136439864593984,0.2813643884849424,0.16324916899468525,0.02633134366004589,0.03609935156592384,0.014209479207253486
